transaction_id,timestamp,sender_id,receiver_id,amount,category,is_fraud,typology,case_id
917c1246,2024-01-01 00:04:00.827702,ACC40058,ACC46394,7089.14,payroll,0,normal,TX_002152
d963d043,2024-01-01 00:11:10.559694,ACC63998,ACC12429,82.34,bills,0,normal,TX_005027
8c75e8fe,2024-01-01 00:15:16.563765,ACC71342,ACC49320,16309.82,business,0,normal,TX_001748
c8217f0e,2024-01-01 00:17:59.016396,ACC95553,ACC98166,43.11,retail,0,normal,TX_006464
da748180,2024-01-01 00:23:27.278985,ACC47912,ACC31939,467.42,retail,0,normal,TX_001011
c02aaf74,2024-01-01 00:24:17.595947,ACC99499,ACC37235,29249.68,mortgage,0,normal,TX_004238
5dcc87b6,2024-01-01 00:36:39.245464,ACC65608,ACC38627,38785.7,mortgage,0,normal,TX_003707
6c827be8,2024-01-01 00:40:08.921429,ACC37970,ACC43138,5440.47,payroll,0,normal,TX_006096
f10cd869,2024-01-01 00:41:52.084441,ACC26485,ACC60897,420.59,bills,0,normal,TX_006628
3a87f4c2,2024-01-01 00:44:58.600515,ACC21323,ACC72688,524.47,bills,0,normal,TX_007399
a8d1ddc1,2024-01-01 00:52:09.379224,ACC29536,ACC37659,419.92,bills,0,normal,TX_004173
f205e163,2024-01-01 00:56:40.357347,ACC51049,ACC64275,6601.05,payroll,0,normal,TX_006018
cce5d821,2024-01-01 01:04:22.320702,ACC11906,ACC53103,164.48,bills,0,normal,TX_002920
2b20e612,2024-01-01 01:04:36.751734,ACC64458,ACC20218,7992.15,payroll,0,normal,TX_003361
e4cc832d,2024-01-01 01:06:23.400024,ACC83792,ACC48702,476.31,p2p,0,normal,TX_005578
50d53006,2024-01-01 01:07:36.228344,ACC11837,ACC11038,545.03,p2p,0,normal,TX_005603
b7996caf,2024-01-01 01:26:02.451796,ACC43083,ACC53404,104.23,retail,0,normal,TX_006539
d45c2ca7,2024-01-01 01:51:24.367481,ACC15365,ACC21164,1339.62,p2p,0,normal,TX_006831
c2f54501,2024-01-01 01:59:21.895849,ACC82897,ACC42662,436.35,bills,0,normal,TX_004306
c37db6f3,2024-01-01 02:05:12.013862,ACC35363,ACC16938,1642.87,p2p,0,normal,TX_004813
ff0faece,2024-01-01 02:06:17.205140,ACC80702,ACC47093,419.91,bills,0,normal,TX_007112
3cad8268,2024-01-01 02:08:50.823009,ACC74605,ACC17709,370.86,bills,0,normal,TX_006845
cba90e02,2024-01-01 02:09:46.874407,ACC42951,ACC25534,709.46,p2p,0,normal,TX_002553
eb44d6a9,2024-01-01 02:10:45.699196,ACC92716,ACC85257,513.6,p2p,0,normal,TX_002393
62de043a,2024-01-01 02:15:39.568661,ACC50613,ACC22251,59.39,bills,0,normal,TX_002997
1fea68e9,2024-01-01 02:21:55.329093,ACC49139,ACC57052,1798.24,p2p,0,normal,TX_006333
b9a2c102,2024-01-01 02:22:48.840653,ACC97841,ACC80784,1689.28,p2p,0,normal,TX_005335
dd382792,2024-01-01 02:30:52.298209,ACC75327,ACC55878,460.52,retail,0,normal,TX_004494
dcab7794,2024-01-01 02:36:37.394250,ACC49829,ACC71348,58.74,retail,0,normal,TX_006235
66c30687,2024-01-01 02:37:40.577746,ACC98641,ACC14570,38000.09,business,0,normal,TX_002494
62c5bf33,2024-01-01 02:40:46.751701,ACC15500,ACC23970,184.16,retail,0,normal,TX_002104
2b75b2b7,2024-01-01 02:49:32.567754,ACC16371,ACC77839,410.24,bills,0,normal,TX_005099
4ab74c92,2024-01-01 02:55:26.618439,ACC99065,ACC73423,306.68,retail,0,normal,TX_007015
afc996b3,2024-01-01 02:58:08.977662,ACC79603,ACC98702,38012.15,business,0,normal,TX_000408
e2307d1e,2024-01-01 03:00:35.987339,ACC64040,ACC34854,7584.97,payroll,0,normal,TX_001125
371a5f74,2024-01-01 03:03:53.250088,ACC60662,ACC38097,80.22,retail,0,normal,TX_007408
0df79e7a,2024-01-01 03:23:37.395691,ACC33176,ACC17603,144.03,retail,0,normal,TX_000405
c52b9b84,2024-01-01 03:27:54.550659,ACC98039,ACC60067,101.27,bills,0,normal,TX_003980
692de594,2024-01-01 03:28:37.416780,ACC41361,ACC90240,1041.99,p2p,0,normal,TX_002922
b7a33953,2024-01-01 03:29:56.248430,ACC19485,ACC42658,280.76,retail,0,normal,TX_005054
cbf6e3a7,2024-01-01 03:48:22.582167,ACC99449,ACC63465,6568.93,payroll,0,normal,TX_002120
ebf0cd85,2024-01-01 03:48:33.321961,ACC16822,ACC93345,100.1,bills,0,normal,TX_000524
80cbaa74,2024-01-01 03:49:59.815162,ACC33680,ACC33584,25125.48,business,0,normal,TX_001185
6395ec8f,2024-01-01 04:05:03.191457,ACC83831,ACC64673,470.59,retail,0,normal,TX_001689
fb50f45d,2024-01-01 04:17:09.776785,ACC61466,ACC47093,494.11,bills,0,normal,TX_001417
5dacda7f,2024-01-01 04:23:48.413634,ACC40377,ACC50965,7491.31,payroll,0,normal,TX_002812
1637de6e,2024-01-01 04:24:20.967554,ACC31247,ACC82185,5567.14,payroll,0,normal,TX_002575
ed85c779,2024-01-01 04:29:52.211151,ACC81073,ACC58908,42.3,retail,0,normal,TX_002521
fcfa4d55,2024-01-01 04:31:02.065272,ACC58527,ACC31895,7696.56,payroll,0,normal,TX_002777
f54b7169,2024-01-01 04:32:43.063653,ACC46146,ACC46463,337.81,retail,0,normal,TX_002656
8103f0b1,2024-01-01 04:32:44.311086,ACC18030,ACC76530,96.17,retail,0,normal,TX_001877
16151307,2024-01-01 04:34:31.800519,ACC84261,ACC20955,302.67,retail,0,normal,TX_006088
82579ffa,2024-01-01 04:41:22.183688,ACC64610,ACC41210,246.18,retail,0,normal,TX_004812
52cc52dc,2024-01-01 04:41:22.557412,ACC72707,ACC10128,7556.62,payroll,0,normal,TX_002245
affe7eca,2024-01-01 04:45:56.105558,ACC87421,ACC21593,323.01,retail,0,normal,TX_000820
bdf1f576,2024-01-01 04:55:38.551770,ACC18392,ACC46463,1008.46,p2p,0,normal,TX_002949
f1dc3c15,2024-01-01 04:57:21.549548,ACC30875,ACC19154,67.78,bills,0,normal,TX_001652
c67f7fad,2024-01-01 05:04:57.763000,ACC63927,ACC88355,653.32,p2p,0,normal,TX_005190
b2e84172,2024-01-01 05:06:02.466521,ACC28771,ACC94560,5914.61,payroll,0,normal,TX_002325
45b08952,2024-01-01 05:06:56.520518,ACC13822,ACC52872,21.27,retail,0,normal,TX_006526
462637c1,2024-01-01 05:08:58.952661,ACC37372,ACC74417,7105.47,payroll,0,normal,TX_001921
469b750c,2024-01-01 05:11:04.056813,ACC50189,ACC82274,370.55,retail,0,normal,TX_006256
9ea94ab4,2024-01-01 05:12:43.154580,ACC53065,ACC98918,152.62,retail,0,normal,TX_004706
40df9425,2024-01-01 05:13:26.500383,ACC24679,ACC12116,403.67,retail,0,normal,TX_001718
02ef0cb8,2024-01-01 05:15:25.088889,ACC23955,ACC90228,143.33,retail,0,normal,TX_003937
05015804,2024-01-01 05:21:21.119204,ACC84261,ACC34112,480.76,bills,0,normal,TX_002077
5aadff18,2024-01-01 05:26:25.821565,ACC62747,ACC81292,18877.22,tuition,0,normal,TX_005410
521753b9,2024-01-01 05:28:25.234224,ACC47657,ACC39387,627.11,p2p,0,normal,TX_002300
92d4bff2,2024-01-01 05:33:55.917828,ACC43491,ACC25726,20699.24,tuition,0,normal,TX_000072
2a52e6ef,2024-01-01 05:34:54.248854,ACC72213,ACC75600,15.87,retail,0,normal,TX_004461
03dd18ae,2024-01-01 05:38:06.379918,ACC96180,ACC74674,282.73,retail,0,normal,TX_003873
35822da4,2024-01-01 05:48:22.870089,ACC49139,ACC45909,403.33,retail,0,normal,TX_003753
40ce2224,2024-01-01 05:48:56.176884,ACC18326,ACC42951,57.68,bills,0,normal,TX_003378
4bb2c5a0,2024-01-01 05:52:33.509139,ACC30167,ACC63298,1116.3,p2p,0,normal,TX_004405
